video_id,author,comment
SQXcaHsG0Fc,Tempodotco,"COMMENT WITH 83 replies: ✅Jangan simpan sendirian, share link video ini ke WhatsApp! ✅"
SQXcaHsG0Fc,Iqbalfajry,"  =>FIRST CALLBACK REPLY: udah share dongg, thankyou info2 bocor alus, ditunggu bocor besar sma kecurangan pemilu pasti bakal seru"
SQXcaHsG0Fc,khien zees,  =>FIRST CALLBACK REPLY: Ngeri2 sedap klo nge share tempo...😁😁😁😁<br>Takut keciduk...
SQXcaHsG0Fc,Mang Odon Channel,  =>FIRST CALLBACK REPLY: ​@HANDOKO 🔥Maksudnya apa bro?? belajar yg jelas lugas tegas .
SQXcaHsG0Fc,visiblenoble,  =>FIRST CALLBACK REPLY: Di koalisi @ganjar_pranowo ada yg bawa sial. Ada parpol yg anak ketumnya terlapor pidana kasus skema ponzi 7 Trilyun. Korban 6000 org. Tiap hari disumpahin korbannya dalam doa. Cuma soal waktu kena azab bagi para pelakunya.  Semua laporan pidana mandek sudah 3 thn lebih.  Semesta tidak mendukung perjuangan  GAMA di pilpres kali ini. Fakta.
SQXcaHsG0Fc,T.S.C.,"  =>FIRST CALLBACK REPLY: ​@IqbalfajryDari awalnya juga sudah curang, itu Gibran gak sah tuh jadi cawapres karena hasil nepotisme gratifikasi paman Usman dengan merubah konstitusi demi Gibran, lagian yang berhak merubah konstitusi hanya DPR, sedangkan MK hanya berhak membatalkan konstitusi yang dianggap tidak sejalan dengan kepentingan rakyat banyak, sedangkan hak untuk merubah ya tetap harus dikembalikan ke DPR, tindakan paman Usman sama saja dengan korupsi jabatan + menyalahi aturan konstitusi 😂"
SQXcaHsG0Fc,Kawulo Alit,  =>FIRST CALLBACK REPLY: @HANDOKO 🔥 mari kita tumbangkan  banteng
SQXcaHsG0Fc,Mang Odon Channel,  =>FIRST CALLBACK REPLY: ​@Kawulo AlitUdah minum susu bro  biar cerdasan dikit . Biar paham minimal sedikit hukum dan demokrasi
SQXcaHsG0Fc,Risna Anjeli,  =>FIRST CALLBACK REPLY: Sara selalu rekomen tempo ke temen tongkrongan dan keluarga agar menjadi pemilih yg cerdas dan tidak mudah di kendalikan oleh elit dengan isu&quot; Yg mereka buat saya ngk mau temen dan keluarga saya seperti bebek yg gampang di giring oleh intrik para elit. Semangat terus tempo<br>Asya dan keluarga berlangganan koran tempo
SQXcaHsG0Fc,Yuni Ati,  =>FIRST CALLBACK REPLY: ​@Mang Odon Channel😊
SQXcaHsG0Fc,Lestari S,  =>FIRST CALLBACK REPLY: Buzzer mkmkmkmkmk merajalela lurrr biar aja kasian mrk kalo gak komen kaga mkn
SQXcaHsG0Fc,Felming Harun,  =>FIRST CALLBACK REPLY: ​@Iqbalfajry😊😊p<br>P
SQXcaHsG0Fc,@sinkecil,  =>FIRST CALLBACK REPLY: Episode selanjutnya Harun Masiku berperan sebagai bargaining...<br>🤑🤑🤑
SQXcaHsG0Fc,Sultan Oden,"  =>FIRST CALLBACK REPLY: Kulik kpu, bawaslu sama lembaga survei dong tempo"
SQXcaHsG0Fc,Nugroho,  =>FIRST CALLBACK REPLY: Tambah durasinya boss...
SQXcaHsG0Fc,Setiawan,  =>FIRST CALLBACK REPLY: pura pura begok aja @Mang Odon Channel
SQXcaHsG0Fc,Bebaloeng Masbagik,  =>FIRST CALLBACK REPLY: Sebelum tayang tadi jam 12 sudah nyebar ke seluruh plodok negeri 😅
SQXcaHsG0Fc,Corry Sambenthiro,  =>FIRST CALLBACK REPLY: @HANDOKO 🔥hahaaa dari pada ibu suri bikin kacau 🤣🤣🤣
SQXcaHsG0Fc,Yay An,  =>FIRST CALLBACK REPLY: siap
